TCID,AppName,EXEDATE,STATUS,"RCA (Env, Code, Data, Req))"
41,Hotstar,06.13.19,Fail,"DEV|print(""sum is"",a+b)|No varibles named a and b|retrive data"
150,ACM,06.14.19,Pass,
194,TechCrunch,07.18.19,Fail,"DEV|print(""a[10]"")|No varible named a|retrive data"
117,Zomato,05.05.19,Fail,"DEV|for val in ""string"": |val : undefined variable|iteration"
67,Hotstar,08.25.19,Pass,
157,Guardian,04.03.19,Pass,
97,TechCrunch,06.04.19,Fail,STG|import matplotlib.pyplot as plt|matplotlib: Package not found|importing
132,ACM,06.17.19,Fail,"UAT|return func(*args, **kw)|InterruptedError|Handle Interrupt Error"
158,Guardian,07.31.19,Pass,
31,Hotstar,04.14.19,Pass,
68,Facebook,07.27.19,Fail,UAT|import pandas as pd|package not found|importing
58,Guardian,05.20.19,Pass,
99,Guardian,05.16.19,Fail,PROD|plt.show()|matplotlib is not imported|visualising
101,UberEats,05.06.19,Pass,
199,Zomato,08.11.19,Pass,
16,ACM,08.05.19,Pass,
45,Instagram,05.17.19,Fail,"STG|for i,j in range()|range expected 1 arguments|parsing"
143,UberEats,04.27.19,Pass,
172,ACM,04.26.19,Fail,PROD|import seaborn as sns|seaborn: Package not found|Coloring
166,Facebook,06.08.19,Fail,DEV|data = pd.read_csv('usecase.csv')|file doesnot exist|retrive data
1,Guardian,09.08.19,Pass,
111,Guardian,05.07.19,Pass,
161,Hotstar,09.09.19,Pass,
42,Guardian,08.15.19,Fail,UAT|import pandasa as pd|pandas: Package not found|importing
189,Guardian,07.09.19,Pass,
52,Facebook,08.11.19,Pass,
87,Instagram,06.21.19,Fail,UAT|import matplotlib as plt|matplotlib: Package not found|importing
185,Zomato,05.01.19,Fail,DEV|df = df[df['Android Ver'] != np.nan]|name 'df' is not defined|renaming
73,Zomato,09.28.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
167,TechCrunch,08.14.19,Pass,
168,Instagram,04.06.19,Fail,UAT|import pandasa as pd|pandasa: Package not found|importing
183,Netflix,09.15.19,Fail,
22,Zomato,06.29.19,Pass,
105,Hotstar,09.10.19,Fail,PROD|print(('python')*a)|a: variable undefined|retrieve data
97,UberEats,09.27.19,Pass,
101,TechCrunch,08.08.19,Fail,STG|while var >! 0:  |invalid operator|validation
132,Uber,09.12.19,Pass,
74,Netflix,06.01.19,Pass,
139,Netflix,09.22.19,Fail,PROD|import numpy as np|numpy: Package not found|importing
114,Instagram,07.04.19,Fail,DEV|plt.show()|plt:undefined name|displaying
81,Instagram,07.22.19,Fail,STG|import matplotlib.pyplot as plt|matplotlib: Package not found|importing
65,UberEats,05.21.19,Fail,"DEV|print(""a[10]"")|No varible named a|retrive data"
197,ACM,04.16.19,Pass,
44,TechCrunch,08.15.19,Fail,"UAT|return func(*args, **kw)|InterruptedError|Handle Interrupt Error"
116,ACM,05.11.19,Pass,
96,UberEats,05.13.19,Pass,
159,Uber,05.05.19,Pass,
150,UberEats,05.01.19,Pass,
62,Guardian,05.23.19,Pass,
151,ACM,09.23.19,Pass,
81,Instagram,08.12.19,Fail,DEV|import seaborn as sns|seaborn: package not found|importing
116,Zomato,07.22.19,Fail,"STG|print(data[""Weight""].std())|column doesnot exist|standard variations"
69,TechCrunch,09.23.19,Fail,"DEV|print(data.[""Name""])|No column named ""Name""|retrive data"
174,Uber,08.28.19,Fail,UAT|fun(20)|arguments undefined in function|pass by value 
23,Netflix,07.23.19,Fail,UAT|form.submit(name[0])|Array index out of bounds|Need to specify name
39,Uber,07.13.19,Pass,
40,Facebook,09.22.19,Fail,DEV|print(df.columns)|df: undefined dataframe|retrive data
72,Uber,07.04.19,Fail,PROD|print(('python')*a)|a: variable undefined|retrieve data
155,Zomato,05.04.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
176,Zomato,08.02.19,Pass,
175,Netflix,04.30.19,Fail,DEV|plt.show()|plt:undefined name|displaying
57,Zomato,06.02.19,Pass,
198,Hotstar,09.06.19,Fail,
187,Uber,08.30.19,Pass,
20,Facebook,08.21.19,Fail,DEV|df.read_csv(...)|file not found|Importing file
19,Facebook,04.05.19,Pass,
68,Instagram,09.18.19,Fail,PROD|np.arange(8)|numpy array out of range|looping
164,Guardian,06.30.19,Fail,PROD|np.arange(8)|numpy array out of range|looping
10,Netflix,08.01.19,Pass,
16,Zomato,07.20.19,Pass,
191,Netflix,08.05.19,Pass,
96,Netflix,04.15.19,Pass,
169,Zomato,06.21.19,Pass,
73,Zomato,06.26.19,Pass,
125,Netflix,05.31.19,Fail,"DEV| for x,d in data.Height, data.shape[0]| too many values to unpack|looping"
156,Instagram,08.04.19,Fail,"PROD|data.replace(data.Name, 'NA')|Not replacing all values in Name column|manipulating data"
154,UberEats,05.05.19,Pass,
173,Guardian,04.02.19,Fail,"UAT|return func(*args, **kw)|InterruptedError|Handle Interrupt Error"
92,UberEats,07.08.19,Fail,DEV|plt.show()|displaying graph without plotting it|plotting
57,Hotstar,07.24.19,Fail,"DEV|for val in ""string"": |val : undefined variable|iteration"
17,Hotstar,07.11.19,Pass,
152,Facebook,04.16.19,Fail,DEV|plt.show()|plt:undefined name|displaying
200,Instagram,05.21.19,Fail,UAT|form.submit(name[0])|Array index out of bounds|Need to specify name
5,Netflix,07.27.19,Pass,
11,Hotstar,08.15.19,Fail,"DEV| print ""Ok""|Missing parentheses in call to 'print'| printing"
90,Guardian,07.07.19,Fail,STG|for i in Age|list index out of range|looping
76,Uber,04.29.19,Fail,DEV|df = df[df['Android Ver'] != np.nan]|name 'df' is not defined|renaming
90,Guardian,04.19.19,Pass,
10,Facebook,09.13.19,Fail,STG|while var >! 0:  |invalid operator|validation
4,UberEats,08.09.19,Fail,UAT|import pandas as pd|package not found|importing
9,Netflix,04.04.19,Pass,
144,ACM,08.23.19,Pass,
106,Netflix,07.08.19,Pass,
46,Facebook,04.29.19,Fail,UAT|fun(20)|arguments undefined in function|pass by value 
28,Facebook,09.11.19,Fail,UAT|form.submit(name[0])|Array index out of bounds|Need to specify name
124,Hotstar,04.22.19,Pass,
160,UberEats,07.29.19,Fail,"STG|for i,j in range()|range expected 1 arguments|parsing"
34,Guardian,07.29.19,Pass,
107,Instagram,04.29.19,Pass,
173,Netflix,04.08.19,Fail,STG|for i in Age|list index out of range|looping
80,Zomato,04.18.19,Fail,DEV|import seaborn as sns|seaborn: package not found|importing
182,Netflix,04.10.19,Fail,"STG|for i,j in range()|range expected 1 arguments|parsing"
35,ACM,05.31.19,Fail,PROD|import numpy as np|numpy: Package not found|importing
89,ACM,08.29.19,Fail,UAT|import pandasa as pd|pandasa: Package not found|importing
51,ACM,08.08.19,Fail,UAT|import matplotlib as plt|matplotlib: Package not found|importing
164,Uber,05.07.19,Fail,"UAT| a=pd.readcsv(""testcase.csv"")| module 'pandas' has no attribute 'readcsv'|reading"
127,TechCrunch,05.22.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
60,Facebook,08.26.19,Pass,
25,ACM,09.27.19,Pass,
146,Zomato,08.21.19,Pass,
122,Guardian,05.30.19,Fail,DEV|df.read_csv(...)|file not found|Importing file
37,Hotstar,07.05.19,Fail,"DEV| print ""Ok""|Missing parentheses in call to 'print'| printing"
95,UberEats,05.16.19,Fail,UAT|import matplotlib.pyplot as plt|matplot: Package not found|importing
25,Guardian,08.31.19,Fail,DEV|print(df.columns)|df: undefined dataframe|retrive data
77,UberEats,07.01.19,Pass,
175,ACM,05.19.19,Pass,
119,Facebook,04.21.19,Fail,"STG|for i,j in range()|range expected 1 arguments|parsing"
89,Zomato,05.25.19,Pass,
27,Hotstar,07.31.19,Pass,
1,Netflix,04.03.19,Pass,
54,Instagram,07.14.19,Fail,STG|while var >! 0:  |invalid operator|validation
6,TechCrunch,08.24.19,Fail,STG|for i in Age|list index out of range|looping
49,Netflix,04.12.19,Pass,
132,Guardian,05.29.19,Pass,
84,Instagram,04.07.19,Pass,
38,Zomato,07.26.19,Fail,STG|while var >! 0:  |invalid operator|validation
91,TechCrunch,06.20.19,Pass,
88,Uber,05.23.19,Pass,
101,Hotstar,04.14.19,Pass,
46,UberEats,08.31.19,Pass,
14,Uber,06.07.19,Pass,
130,Hotstar,04.01.19,Fail,UAT|import pandas as pd|package not found|importing
153,Uber,09.07.19,Pass,
82,TechCrunch,07.24.19,Fail,STG| if i>5 |SyntaxError: invalid syntax |decision control
166,UberEats,04.25.19,Pass,
83,Facebook,07.05.19,Fail,PROD|plt.show()|matplotlib is not imported|visualising
151,Facebook,09.05.19,Fail,STG| if i>5 |SyntaxError: invalid syntax |decision control
167,Zomato,08.31.19,Fail,DEV|df = df[df['Android Ver'] != np.nan]|name 'df' is not defined|renaming
39,UberEats,05.12.19,Pass,
110,Guardian,04.30.19,Fail,DEV|data = pd.read_csv('usecase.csv')|file doesnot exist|retrive data
195,Instagram,05.14.19,Pass,
124,Uber,07.30.19,Pass,
52,Instagram,07.09.19,Pass,
90,TechCrunch,09.24.19,Fail,UAT|form.submit(name[0])|Array index out of bounds|Need to specify name
168,Guardian,06.23.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
79,UberEats,07.03.19,Pass,
21,Guardian,08.22.19,Pass,
19,TechCrunch,07.25.19,Pass,
154,Zomato,04.26.19,Fail,UAT|import matplotlib.pyplot as plt|matplot: Package not found|importing
128,Hotstar,05.15.19,Pass,
141,TechCrunch,04.16.19,Pass,
150,Hotstar,04.27.19,Pass,
106,Hotstar,06.16.19,Fail,DEV|df = df[df['Android Ver'] != np.nan]|name 'df' is not defined|renaming
178,UberEats,08.30.19,Fail,UAT|import matplotlib.pyplot as plt|matplotlib: Package not found|visualise
120,Instagram,08.17.19,Fail,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
137,Instagram,09.18.19,Pass,
171,Facebook,09.23.19,Fail,DEV|print(df.columns)|df: undefined dataframe|retrive data
58,TechCrunch,08.23.19,Fail,UAT|import pandasa as pd|pandas: Package not found|importing
24,Hotstar,09.04.19,Fail,"DEV| print ""Ok""|Missing parentheses in call to 'print'| printing"
193,UberEats,05.03.19,Fail,STG|for i in Age|list index out of range|looping
85,Uber,08.25.19,Fail,PROD|import seaborn as sns|seaborn: Package not found|Coloring
111,UberEats,05.03.19,Pass,
168,Uber,06.26.19,Pass,
96,Netflix,05.29.19,Fail,PROD|print(('python')*a)|a: variable undefined|retrieve data
74,UberEats,09.06.19,Pass,
189,Uber,07.30.19,Pass,
45,TechCrunch,05.10.19,Pass,
158,TechCrunch,07.02.19,Fail,
147,Netflix,09.28.19,Fail,"PROD| client.post_telemetry(navsat_msg, compass_msg)|TimeoutError|Accept TimeoutError Properly"
180,Netflix,04.19.19,Fail,"STG|print(data[""Weight""].std())|column doesnot exist|standard variations"
139,Zomato,09.11.19,Pass,
11,TechCrunch,06.04.19,Pass,
148,Facebook,06.21.19,Pass,
100,UberEats,04.08.19,Pass,
127,Guardian,05.24.19,Fail,STG|import matplotlib.pyplot as plt|matplotlib: Package not found|importing
4,Guardian,04.14.19,Fail,UAT|import pandasa as pd|pandasa: Package not found|importing
51,Instagram,04.21.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
173,ACM,04.23.19,Fail,"PROD|data.replace(data.Name, 'NA')|Not replacing all values in Name column|manipulating data"
174,Netflix,08.07.19,Fail,UAT|import matplotlib as plt|matplotlib: Package not found|importing
94,UberEats,09.16.19,Fail,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
104,TechCrunch,07.03.19,Fail,STG|for i in Age|list index out of range|looping
54,Zomato,06.22.19,Pass,
134,Instagram,06.06.19,Pass,
51,Hotstar,07.03.19,Fail,UAT|import pandas as pd|package not found|importing
168,ACM,06.01.19,Fail,
38,UberEats,09.18.19,Pass,
83,Uber,06.11.19,Fail,"DEV| for x,d in data.Height, data.shape[0]| too many values to unpack|looping"
187,ACM,09.17.19,Fail,UAT|fun(20)|arguments undefined in function|pass by value 
11,Zomato,09.09.19,Pass,
189,Zomato,06.04.19,Pass,
102,Hotstar,06.01.19,Fail,"DEV|print(""a[10]"")|No varible named a|retrive data"
194,Netflix,09.15.19,Pass,
91,Instagram,07.27.19,Pass,
190,UberEats,06.13.19,Pass,
2,ACM,07.21.19,Pass,
146,Instagram,09.07.19,Pass,
127,Facebook,09.28.19,Pass,
199,Zomato,06.07.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
5,Guardian,09.14.19,Pass,
30,Instagram,06.13.19,Fail,"STG|print(data[""Weight""].std())|column doesnot exist|standard variations"
43,ACM,05.30.19,Pass,
119,UberEats,08.26.19,Pass,
136,Netflix,07.06.19,Fail,DEV|df = df[df['Android Ver'] != np.nan]|name 'df' is not defined|renaming
145,Guardian,08.10.19,Pass,
42,Zomato,07.03.19,Fail,DEV|import seaborn as sns|seaborn: package not found|importing
158,Netflix,09.12.19,Pass,
54,ACM,08.10.19,Fail,"PROD|import plotly|The plotly.plotly module is deprecated,|importing"
61,Facebook,09.11.19,Pass,
196,UberEats,08.31.19,Fail,"STG|for i,j in range()|range expected 1 arguments|parsing"
161,Netflix,09.19.19,Pass,
32,Facebook,06.06.19,Pass,
189,TechCrunch,09.10.19,Pass,
134,Netflix,04.12.19,Pass,
144,TechCrunch,06.21.19,Pass,
101,Hotstar,04.19.19,Fail,PROD|import seaborn as sns|seaborn: Package not found|Coloring
184,Hotstar,07.21.19,Pass,
132,ACM,05.13.19,Pass,
143,ACM,05.26.19,Fail,DEV|plt.show()|displaying graph without plotting it|plotting
173,UberEats,04.16.19,Pass,
25,Guardian,05.17.19,Pass,
23,Hotstar,08.28.19,Fail,
23,Guardian,08.26.19,Pass,
78,Guardian,08.09.19,Fail,DEV|df.read_csv(...)|file not found|Importing file
73,Instagram,05.29.19,Fail,STG|import matplotlib.pyplot as plt|matplotlib: Package not found|importing
6,Instagram,09.09.19,Pass,
145,Zomato,05.25.19,Fail,UAT|import pandas as pd|package not found|importing
171,Guardian,06.21.19,Fail,PROD|import seaborn as sns|seaborn: Package not found|Coloring
136,Zomato,05.02.19,Fail,STG|for x in range(10)|List out of index [15]|looping
17,Uber,05.29.19,Fail,"STG|for i,j in range()|range expected 1 arguments|parsing"
122,ACM,04.15.19,Fail,PROD|Not compatible with IOS 13|Update not found|Updating
161,Instagram,08.22.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
152,Guardian,05.02.19,Pass,
95,Instagram,08.20.19,Fail,PROD|import numpy as np|numpy: Package not found|importing
90,Zomato,06.20.19,Fail,
167,Facebook,05.20.19,Fail,DEV|df.read_csv(...)|file not found|Importing file
20,ACM,08.21.19,Pass,
135,UberEats,07.21.19,Pass,
118,Hotstar,06.01.19,Fail,"STG|for i,j in range()|range expected 1 arguments|parsing"
121,Uber,07.19.19,Pass,
1,Instagram,08.18.19,Pass,
189,Guardian,05.29.19,Pass,
29,Facebook,07.31.19,Pass,
57,TechCrunch,09.17.19,Fail,DEV|df.read_csv(...)|file not found|Importing file
188,TechCrunch,04.27.19,Pass,
145,Zomato,04.02.19,Pass,
61,UberEats,05.06.19,Pass,
82,Uber,09.25.19,Pass,
49,TechCrunch,05.28.19,Fail,DEV|df.read_csv(...)|file not found|Importing file
153,Instagram,05.16.19,Pass,
92,Netflix,07.11.19,Fail,DEV|df.read_csv(...)|file not found|Importing file
184,Instagram,09.25.19,Fail,"PROD| plt.rc(""font"",""size""=14)| keyword can't be an expression| setting RC parameter"
91,ACM,08.01.19,Pass,
106,UberEats,06.25.19,Pass,
26,Netflix,07.25.19,Pass,
107,Guardian,05.16.19,Fail,
106,Facebook,08.04.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
190,Zomato,08.29.19,Fail,PROD|np.arange(8)|numpy array out of range|looping
37,TechCrunch,06.08.19,Fail,UAT|import matplotlib.pyplot as plt|matplot: Package not found|importing
103,Hotstar,06.05.19,Pass,
7,Netflix,04.10.19,Fail,"DEV|print(data.[""Name""])|No column named ""Name""|retrive data"
189,Guardian,09.17.19,Pass,
168,TechCrunch,07.12.19,Fail,DEV|df = df[df['Android Ver'] != np.nan]|name 'df' is not defined|renaming
169,Facebook,04.21.19,Fail,STG| if i>5 |SyntaxError: invalid syntax |decision control
199,Facebook,07.21.19,Pass,
145,ACM,06.30.19,Pass,
120,Zomato,08.19.19,Fail,"UAT|return func(*args, **kw)|InterruptedError|Handle Interrupt Error"
110,ACM,06.03.19,Fail,
133,Instagram,09.27.19,Pass,
119,Guardian,09.04.19,Fail,"DEV| print ""Ok""|Missing parentheses in call to 'print'| printing"
22,Guardian,05.07.19,Pass,
116,Instagram,05.01.19,Pass,
184,Instagram,09.05.19,Pass,
20,Zomato,08.27.19,Fail,
91,Uber,05.18.19,Fail,"UAT| a=pd.readcsv(""testcase.csv"")| module 'pandas' has no attribute 'readcsv'|reading"
64,Uber,07.10.19,Pass,
146,Zomato,07.31.19,Fail,STG|while var >! 0:  |invalid operator|validation
168,TechCrunch,08.24.19,Pass,
56,ACM,08.18.19,Fail,PROD|plt.show()|matplotlib is not imported|visualising
174,TechCrunch,09.06.19,Fail,"DEV| for x,d in data.Height, data.shape[0]| too many values to unpack|looping"
198,ACM,09.06.19,Pass,
60,ACM,04.04.19,Pass,
73,Netflix,06.01.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
191,Facebook,08.26.19,Pass,
78,Facebook,06.23.19,Fail,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
177,Hotstar,05.21.19,Fail,DEV|data = pd.read_csv('usecase.csv')|file doesnot exist|retrive data
161,TechCrunch,04.30.19,Pass,
72,Netflix,06.15.19,Fail,"DEV| for x,d in data.Height, data.shape[0]| too many values to unpack|looping"
53,TechCrunch,07.02.19,Fail,DEV|plt.show()|displaying graph without plotting it|plotting
55,ACM,09.04.19,Pass,
120,ACM,06.01.19,Fail,STG|while var >! 0:  |invalid operator|validation
172,Guardian,06.19.19,Pass,
192,Zomato,09.13.19,Pass,
99,UberEats,05.07.19,Fail,STG|for x in range(10)|List out of index [15]|looping
57,ACM,09.26.19,Fail,PROD|np.arange(8)|numpy array out of range|looping
33,UberEats,05.25.19,Fail,UAT|fun(20)|arguments undefined in function|pass by value 
127,TechCrunch,09.20.19,Pass,
188,Uber,05.15.19,Fail,"DEV|print(data.[""Name""])|No column named ""Name""|retrive data"
80,Guardian,08.17.19,Pass,
158,Uber,07.04.19,Fail,DEV|plt.show()|plt:undefined name|displaying
148,Facebook,08.05.19,Fail,"PROD| client.post_telemetry(navsat_msg, compass_msg)|TimeoutError|Accept TimeoutError Properly"
85,TechCrunch,09.20.19,Fail,DEV|data = pd.read_csv('usecase.csv')|file doesnot exist|retrive data
89,TechCrunch,07.09.19,Fail,"PROD| plt.rc(""font"",""size""=14)| keyword can't be an expression| setting RC parameter"
164,Netflix,04.11.19,Fail,"DEV|print(""a[10]"")|No varible named a|retrive data"
158,Netflix,05.15.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
20,TechCrunch,05.28.19,Fail,PROD|Not compatible with IOS 13|Update not found|Updating
198,ACM,08.25.19,Fail,STG|while var >! 0:  |invalid operator|validation
30,ACM,07.27.19,Pass,
65,ACM,04.03.19,Pass,
177,Hotstar,08.26.19,Pass,
99,Guardian,05.18.19,Fail,UAT|import pandas as pd|package not found|importing
2,ACM,06.23.19,Pass,
186,Guardian,06.11.19,Fail,PROD|plt.show()|matplotlib is not imported|visualising
35,Netflix,06.27.19,Fail,DEV|import seaborn as sns|seaborn: package not found|importing
65,Uber,04.24.19,Pass,
